Source	Target	Label
u85318	u85317	COLLABORATES
u74924	u74923	COLLABORATES
u98203	u99165	COLLABORATES
u74018	u73933	COLLABORATES
u73058	u19093	COLLABORATES
u98263	u97559	COLLABORATES
u98726	u78702	COLLABORATES
u97553	u98265	COLLABORATES
u97641	u59405	COLLABORATES
u98006	u99165	COLLABORATES
u97553	u98695	COLLABORATES
u234	u231	COLLABORATES
u97562	u97612	COLLABORATES
u97554	u97608	COLLABORATES
u76596	u76595	COLLABORATES
u72804	u72803	COLLABORATES
u97611	u98294	COLLABORATES
u101210	u97553	COLLABORATES
u98006	u97563	COLLABORATES
u100410	u98726	COLLABORATES
u97776	u97553	COLLABORATES
u97640	u99724	COLLABORATES
u97640	u98125	COLLABORATES
u97554	u98006	COLLABORATES
u98265	u97776	COLLABORATES
u100410	u98114	COLLABORATES
u1209	u1208	COLLABORATES
u74100	u74099	COLLABORATES
u97674	u98114	COLLABORATES
u480	u479	COLLABORATES
u101210	u98203	COLLABORATES
u108601	u98695	COLLABORATES
u167	u166	COLLABORATES
u65683	u65682	COLLABORATES
u98203	u98263	COLLABORATES
u82	u81	COLLABORATES
u97640	u98726	COLLABORATES
u70383	u70381	COLLABORATES
u24664	u24663	COLLABORATES
u72805	u72803	COLLABORATES
u91223	u89968	COLLABORATES
u13199	u13198	COLLABORATES
u306	u305	COLLABORATES
u97868	u108601	COLLABORATES
u97674	u143829	COLLABORATES
u97554	u99382	COLLABORATES
u78498	u78497	COLLABORATES
u98726	u98152	COLLABORATES
u98358	u97776	COLLABORATES
u25499	u25498	COLLABORATES
u97868	u99724	COLLABORATES
u94342	u94341	COLLABORATES
u97612	u98125	COLLABORATES
u97640	u99165	COLLABORATES
u98294	u97913	COLLABORATES
u97640	u97912	COLLABORATES
u97563	u97561	COLLABORATES
u98265	u98725	COLLABORATES
u30833	u30832	COLLABORATES
u97612	u99165	COLLABORATES
u9290	u9288	COLLABORATES
u97610	u97609	COLLABORATES
u97672	u98294	COLLABORATES
u70384	u70382	COLLABORATES
u78533	u78532	COLLABORATES
u74552	u74549	COLLABORATES
u97162	u97161	COLLABORATES
u98417	u98358	COLLABORATES
u104104	u97611	COLLABORATES
u78932	u78931	COLLABORATES
u97560	u97553	COLLABORATES
u91940	u91938	COLLABORATES
u97612	u97557	COLLABORATES
u75913	u75912	COLLABORATES
u98203	u99382	COLLABORATES
u23669	u23667	COLLABORATES
u24479	u24480	COLLABORATES
u72711	u72707	COLLABORATES
u78702	u98263	COLLABORATES
u90181	u90178	COLLABORATES
u97868	u59405	COLLABORATES
u27659	u27658	COLLABORATES
u931	u930	COLLABORATES
u97775	u97558	COLLABORATES
u87771	u79137	COLLABORATES
u1299	u1298	COLLABORATES
u97610	u98114	COLLABORATES
u95069	u95068	COLLABORATES
u88130	u88129	COLLABORATES
u97560	u99382	COLLABORATES
u78503	u78502	COLLABORATES
u98114	u101210	COLLABORATES
u108601	u59405	COLLABORATES
u97775	u108601	COLLABORATES
u97673	u143829	COLLABORATES
u97775	u98152	COLLABORATES
u1448	u1447	COLLABORATES
u73191	u73190	COLLABORATES
u97558	u97913	COLLABORATES
u97066	u97062	COLLABORATES
u94890	u94889	COLLABORATES
u94343	u94340	COLLABORATES
u98007	u97638	COLLABORATES
u97968	u98125	COLLABORATES
u97775	u97638	COLLABORATES
u1558	u1557	COLLABORATES
u97640	u97641	COLLABORATES
u97555	u97611	COLLABORATES
u85318	u85312	COLLABORATES
u97612	u78702	COLLABORATES
u488	u487	COLLABORATES
u97609	u108601	COLLABORATES
u808	u807	COLLABORATES
u98726	u97554	COLLABORATES
u98006	u98203	COLLABORATES
u53391	u85	COLLABORATES
u49904	u8376	COLLABORATES
