	Number	lat	long	country
Valparaiso University	2	41.4639394	-87.0438894	United States
University Tubingen	3	48.5294782	9.043773999999999	Germany
University Fed Rio De Janeiro	1	-22.9541412	-43.1753638	Brazil
University St Anne	1	44.3326798	-66.1168753	Canada
The University of Durham	2	54.7649859	-1.5782029	United Kingdom
Bradford University	1	53.791435	-1.7661746	United Kingdom
Long Island University	2	40.691148	-73.98079899999999	United States
University Passau	2	48.5670466	13.4517835	Germany
Katholieke Universityersiteit	1	38.9368811	-76.99869199999999	United States
University of Ljubljana	1	46.0491938	14.5041552	Slovenia
Calif Baptist University	1	33.9284067	-117.4255596	United States
University Tromso	1	69.679788	18.9710079	Norway
The University of Calgary	1	51.0781599	-114.1358007	Canada
University of Windsor	1	42.3043138	-83.06603860000001	Canada
University Louisville	2	38.2122761	-85.75850229999999	United States
England University Gottingen	1	51.5464725	9.9436457	Germany
University Str 10	1	47.6059645	-122.3401824	United States
University of Texas At Austin	6	30.2849185	-97.7340567	United States
University of Copenhagen	12	55.6802303	12.5724096	Denmark
United States Manchester Metropolitan University	1	53.4709747	-2.2387641	United Kingdom
University S Australia	1	-34.9201652	138.6066669	Australia
Texas A And M University	3	30.618531	-96.33649899999999	United States
Babes Bolyai University	1	46.7677955	23.5912762	Romania
University Texas Austin	6	30.2849185	-97.7340567	United States
University Wales Coll Cardiff	1	51.4854318	-3.1813842	United Kingdom
University West Georgia	1	33.5735587	-85.1027726	United States
University Portland Salzburg Ctr	1	45.5732046	-122.7275712	United States
Michigan Tech University	1	47.1149065	-88.54530729999999	United States
Tbilisi State University	2	41.7099824	44.7779992	Georgia
University of Californiaberkeley	3	37.8718992	-122.2585399	United States
St Marys Seminary And University	1	39.3603347	-76.6400453	United States
Indiana University Purdue University	1	39.7738832	-86.1763393	United States
University Laval	4	46.78174629999999	-71.2747424	Canada
Umea University	1	63.82054839999999	20.3036711	Sweden
University Hannover	1	52.3829641	9.7196989	Germany
Loughborough University Technol	1	52.769227	-1.224632	United Kingdom
University York	8	53.9455334	-1.0561667	United Kingdom
University Arkansas	2	36.0678324	-94.17365509999999	United States
Case Western Reserve University	7	41.5043413	-81.6083838	United States
Tech University Catalonia	1	41.388004	2.1132804	Spain
University of Manchester	9	53.4668498	-2.2338837	United Kingdom
Groningen University	1	53.2192634	6.562987199999999	Netherlands
University Kent	5	41.1490629	-81.34146489999999	United States
Maastricht University	1	50.8471422	5.686401699999999	Netherlands
California State University Northridge	1	34.2425947	-118.5280687	United States
University Gdansk	2	54.3961355	18.5743202	Poland
University of Leicester	9	52.6211393	-1.1246325	United Kingdom
University Groningen	2	53.2192634	6.562987199999999	Netherlands
France University of California	1	37.8718992	-122.2585399	United States
University of Lancaster	1	54.0103942	-2.7877294	United Kingdom
Utrecht University	3	52.0901527	5.1226018	Netherlands
Brigham Young University	6	40.2518435	-111.6493156	United States
La Sierra University	1	33.909867	-117.494974	United States
University Los Andes	2	31.676046	-106.440804	Mexico
University of Eastern Piedmont	3	45.3276034	8.4244182	Italy
Middle Tennessee State University	3	35.8486105	-86.3648813	United States
Rice University	8	29.7173941	-95.40183119999999	United States
Hebrew University	1.0	31.7945578	35.2414009	
Arizona State University	17	33.6075228	-112.1598496	United States
Fudan University	1	31.2974197	121.5036178	China
Hamline University	1	44.9659651	-93.1648051	United States
Christian University	1	35.6126232	-97.4697937	United States
Washington University In St Louis	1	38.6487895	-90.31079620000001	United States
University Paris 08	1	48.9449361	2.3635622	France
Bitsuniversityersity of Applied Sciences of Iserlohn	1	51.38433999999999	7.71909	Germany
University Complutense Madrid	6	40.4478246	-3.728587199999999	Spain
University of New Hampshire	3	43.138948	-70.9370252	United States
University Wales	3	51.4854318	-3.1813842	United Kingdom
University Kassel	1	51.3227527	9.5075944	Germany
Essex University	2	51.87772589999999	0.9472069000000001	United Kingdom
University Warsaw	1	52.2403463	21.0186012	Poland
Goethe University	5	50.1270675	8.6677635	Germany
Universityersitá Commerciale Luigi Bocconi	1			
John Carroll University	6	41.4905062	-81.5293126	United States
Queens University	26	44.2252795	-76.49514119999999	Canada
University of Cergypontoise	2	49.03907599999999	2.074954	France
University of Wisconsinwhitewater	1	42.83740280000001	-88.7440609	United States
University Adelaide	2	-34.920603	138.6062277	Australia
University Mainz	1	49.9926403	8.241555199999999	Germany
University of Illinois	2	40.1019523	-88.2271615	United States
University Urbino Carlo Bo	1	43.7232326	12.6368523	Italy
Vanderbilt University	17	36.1447034	-86.8026551	United States
University of Perugia	1	43.11654100000001	12.38746	Italy
Plymouth State University	2	43.7595034	-71.68825430000001	United States
University of The Witwatersrand	5	-26.191716	28.032858	South Africa
University of Calgary	4	51.0781599	-114.1358007	Canada
Newcastle University	12	54.9791871	-1.6146608	United Kingdom
University of Southern California	8	34.0223519	-118.285117	United States
Wake Forest University	5	36.1352495	-80.2763425	United States
Columbia University	26	40.8075355	-73.9625727	United States
Ruhr University of Bochum	1	51.44566589999999	7.261609300000001	Germany
Cent European University Budapest	1	47.5005395	19.04958	Hungary
Ethnic And Migration Studies Cedem At The University of Liège	1	50.5830803	5.559063999999999	Belgium
Anglia Polytechnic University	2	52.2032672	0.1345112	United Kingdom
University of Rome Tor Vergata	1	41.8495483	12.597784	Italy
Memorial University of Newfoundland	3	47.5737975	-52.7329053	Canada
Colgate University	3	42.8166152	-75.5401764	United States
University Algarve	1	37.0439713	-7.972207900000001	Portugal
Rhodes University	3	-33.3135911	26.5163135	South Africa
National University of Singapore	1	1.2966426	103.7763939	Singapore
Universityersité Libre De Bruxelles Ulb	2	50.8132068	4.3822222	Belgium
